as_of_date,approve_avg,approve_sd,poll_rows_cumulative,disapprove_avg,disapprove_sd,net_approval,net_approval_sd,approve_low_90,approve_high_90,disapprove_low_90,disapprove_high_90
2025-03-13,52.55980350916254,0.8575339859773194,22,43.37359371954205,0.8575339859773194,9.154395445413638,0.8582089813111814,51.14916010222985,53.970446916095234,41.96295031260936,44.78423712647474
2025-03-14,52.55980350916254,0.8742222469750752,22,43.37359371954205,0.8742222469750752,9.154395445413638,0.8748843669898188,51.121707912888546,53.99789910543654,41.935498123268054,44.81168931581605
2025-03-15,52.55980350916254,0.8905978537511471,22,43.37359371954205,0.8905978537511471,9.154395445413638,0.8912478081898298,51.0947700397419,54.02483697858318,41.90856025012141,44.83862718896269
2025-03-16,52.49991871357845,0.8568106293915415,23,43.44060332459782,0.8568106293915415,9.030749034573958,0.8573493502068082,51.09046522822937,53.909372198927535,42.031149839248734,44.8500568099469
2025-03-17,52.44684582353393,0.8258446945166823,24,43.606153615158064,0.8258446945166823,8.814925355598287,0.8262912034595976,51.088331301053984,53.80536034601387,42.24763909267812,44.96466813763801
2025-03-18,52.26378930742732,0.8110075561509309,25,43.63561854768341,0.8110075561509309,8.604129448580489,0.8113967284586067,50.929681877559034,53.5978967372956,42.301511117815124,44.96972597755169
2025-03-19,52.26378930742732,0.8286333665342624,25,43.63561854768341,0.8286333665342624,8.604129448580489,0.8290142646259653,50.90068741947845,53.62689119537618,42.27251665973454,44.99872043563227
2025-03-20,52.26378930742732,0.8458919884559171,25,43.63561854768341,0.8458919884559171,8.604129448580489,0.8462651185966075,50.87229698641733,53.6552816284373,42.24412622667342,45.02711086869339
2025-03-21,52.26378930742732,0.8628054567131025,25,43.63561854768341,0.8628054567131025,8.604129448580489,0.8631712755608415,50.844474331134265,53.68310428372037,42.216303571390355,45.05493352397646
2025-03-22,52.26378930742732,0.8793936866579755,25,43.63561854768341,0.8793936866579755,8.604129448580489,0.8797526078127477,50.81718669287495,53.710391921979685,42.18901593313104,45.082221162235776
2025-03-23,52.26378930742732,0.8956747490768653,25,43.63561854768341,0.8956747490768653,8.604129448580489,0.8960271485581953,50.790404345195874,53.73717426965876,42.162233585451965,45.10900350991485
2025-03-24,52.020595633695855,0.8290995941917928,27,44.069136621336256,0.8290995941917928,7.931152627058186,0.8293599843488553,50.65672680125036,53.38446446614135,42.70526778889076,45.43300545378175
2025-03-25,51.86836917250742,0.8138436465592717,28,44.063928046681816,0.8138436465592717,7.785583471040769,0.814070447479281,50.52959637391742,53.20714197109742,42.725155248091816,45.402700845271816
2025-03-26,51.86836917250742,0.8314093342300728,28,44.063928046681816,0.8314093342300728,7.785583471040769,0.8316313446829171,50.50070081769895,53.236037527315894,42.696259691873344,45.43159640149029
2025-03-27,51.86836917250742,0.8486115018339622,28,44.063928046681816,0.8486115018339622,7.785583471040769,0.8488290130875104,50.472403251990556,53.264335093024286,42.66796212616495,45.45989396719868
2025-03-28,51.86836917250742,0.8654718256794341,28,44.063928046681816,0.8654718256794341,7.785583471040769,0.865685100633664,50.44466801926475,53.29207032575009,42.64022689343915,45.487629199924484
2025-03-29,51.86836917250742,0.8820099098337234,28,44.063928046681816,0.8820099098337234,7.785583471040769,0.8822191867439276,50.417462870830946,53.3192754741839,42.61302174500534,45.51483434835829
2025-03-30,51.8822170128018,0.8496823276150782,29,44.057202681525,0.8496823276150782,7.808149777299894,0.8498562575224832,50.484489583874996,53.27994444172861,42.65947525259819,45.454930110451805
2025-03-31,51.89452501484245,0.8199983064447061,30,44.155722438883366,0.8199983064447061,7.723670551121419,0.8201428304616202,50.54562780074091,53.24342222894399,42.806825224781825,45.50461965298491
2025-04-01,51.75456607825483,0.8059085287351659,31,44.14421836964269,0.8059085287351659,7.596293709772632,0.8060346532303352,50.42884654848548,53.080285608024184,42.818498839873335,45.46993789941204
2025-04-02,51.75456607825483,0.8236434645452363,31,44.14421836964269,0.8236434645452363,7.596293709772632,0.8237668737016236,50.399672579077915,53.10945957743175,42.78932487046578,45.4991118688196
2025-04-03,51.75456607825483,0.8410044926681901,31,44.14421836964269,0.8410044926681901,7.596293709772632,0.8411253546339849,50.37111368781566,53.13801846869401,42.76076597920351,45.52767076008186
2025-04-04,51.75456607825483,0.8580143103049506,31,44.14421836964269,0.8580143103049506,7.596293709772632,0.8581327765609159,50.343132537803186,53.16599961870648,42.73278482919104,45.55565191009433
2025-04-05,51.75456607825483,0.8746934072508378,31,44.14421836964269,0.8746934072508378,7.596293709772632,0.8748096148352205,50.315695423327206,53.19343673318246,42.70534771471506,45.58308902457031
